domain,Char_clean,Words_clean,Tokens
alpharesource.fi,32,6,6
alporti.fi,271,50,54
alppilankiinteistohuolto.fi,202,39,41
alppimaja.fi,32,6,6
alqoy.fi,52,10,10
alr.fi,71,13,13
alro-tec.fi,188,41,44
alsafety.com,1819,251,266
alseccofinland.fi,180,29,30
alshain.fi,415,67,72
alslog.com,569,89,89
altagency.fi,7094,1077,1483
alteams.com,216,40,40
alten.fi,171,27,28
altisense.fi,457,65,75
altor.com,4370,712,796
altumtechnologies.com,2518,379,398
altumvista.com,2479,413,419
altusinvestor.com,436,65,70
alupark.fi,272,50,60
aluweld.fi,172,36,37
alvaadvisory.fi,130,20,20
alvadi.fi,171,27,28
alvars.fi,332,51,57
alycassoftware.com,71,13,13
alylaturi.fi,34,6,6
am10.fi,26,6,6
amaaranen.fi,155,25,27
amarade.com,101,20,20
ambertec.fi,2502,363,394
ambian.fi,2687,485,495
ambientbar.com,2221,381,436
ambiomaterials.com,2880,434,441
amble.fi,581,92,102
amdhouse.fi,202,39,41
amdocs.com,1338,199,206
ameibeautycare.com,78,16,16
ameliate.com,1140,175,185
amertate.com,237,37,40
amexci.com,2544,382,472
amexglobalbusinesstravel.fi,171,27,28
amgo.fi,218,37,37
amhpuu.fi,218,37,37
amityharmonia.com,1197,166,184
ammattikirjanpitoaktiva.fi,71,14,14
ammattip_tevyys.com,8228,1079,2358
ammega.com,2547,371,389
amokabel.com,7056,1154,1283
amphion.fi,602,95,106
amplaffy.io,3628,618,638
ampleviews.com,1394,249,281
amplifiles.ai,4812,812,843
amplify.fi,2709,389,422
amplit.fi,53,9,9
amplon.io,5247,791,868
ampway.fi,330,52,77
ams-corp.fi,1488,277,279
amscorp.eu,144,22,34
amtele.se,897,127,138
amundi.com,980,155,168
amuriplan.fi,178,36,56
anadium.com,433,58,61
analogway.com,1601,231,275
analyse2.com,4372,653,684
anansi.fi,699,115,120
anantu.fi,39,5,6
anarkylabs.com,1341,221,242
anchorintegrity.com,1312,211,219
andberg.net,391,63,67
andersinway.fi,49,9,9
andritz.com,1587,232,240
andumus.com,345,46,48
andyandmerja.com,2533,422,510
angesleva.com,202,39,41
angle.productions,71,13,13
aniaautopalvelu.com,202,39,41
aniforma.com,71,13,13
anima.fi,880,146,153
animaagency.fi,202,39,41
ankerias.com,4355,653,727
ankirugs.com,595,100,112
annajuujarvi.fi,49,9,9
annakuusela.com,508,95,99
annalindh.com,1415,257,271
annaliukas.com,87,16,16
annapastakvisuals.fi,49,9,9
annapurna.fi,845,141,180
annelin.net,37,5,5
annetornroos.com,345,49,91
annioy.com,71,13,13
annitaimisto.com,202,39,41
annotilit.fi,120,18,24
anomalia.io,81,12,13
anonform.com,2273,370,392
another-media.net,87,12,26
ant.fi,180,29,30
antbrams.com,54,6,7
anterojokinen.com,26,6,6
antesarkkinen.com,107,17,18
anti-allergybedding.com,82,17,18
antikhome.com,3169,534,567
antiproto.com,119,20,27
anton-paar.se,1792,251,304
antonomia.fi,84,13,14
antonpaananen.com,26,6,6
antonpodlozny.com,258,35,44
antontammi.com,32,6,11
antti.lk,25553,3984,4164
anttipatterns.com,167,27,27
anttitahtinen.com,202,39,41
anulevy.com,239,46,67
anvilip.com,50,9,12
anycloud.dk,346,50,52
anyhow.fi,46,8,8
aoporphan.com,1126,177,188
aor.fi,1131,156,274
apelago.fi,127,22,25
aperustus.fi,111,20,21
apexdigital.one,6339,1003,1054
apiable.io,11685,1944,2038
apirosport.se,8799,1373,1746
aplusfi.com,202,39,41
apocalypsemarket.com,1438,219,230
apollonian.com,4151,651,734
appaja.com,352,60,60
appel.fi,43,5,9
apperior.io,202,39,41
appfollow.io,2549,410,424
applari.fi,206,33,61
applimech.fi,643,99,108
applixure.com,5775,854,899
appmore.com,9144,1337,1486
apprentis.fi,1266,192,192
approk.com,27,5,7
approosters.com,3537,578,645
appxite.com,5119,755,845
aprikoodi.fi,390,58,73
aprotech.fi,32,6,6
apsis.com,8838,1395,1516
aptual.fi,376,60,66
apupata.fi,713,96,190
aqlrobotics.ai,389,61,67
aquagain.com,52,9,9
aquaminerals.fi,3818,572,675
aquamoni.nl,2647,393,412
aquarian.fi,1405,251,271
aquashiny.com,1615,290,312
aqurin.com,66,12,14
ar-go.fi,501,82,82
arador.fi,1192,185,234
araneus.fi,172,27,31
arant.fi,156,26,28
aranu.fi,73,15,15
araqua.com,225,40,44
ararat.fi,249,39,48
arash-decor.com,202,39,41
araviita.fi,2247,372,392
arbonaut.com,740,106,115
arbong.com,1077,181,188
arbus.fi,3430,593,663
arcchar.com,805,135,155
arcdia.com,2533,386,450
arcelormittal.com,1121,152,198
archiframe.fi,9449,1409,1599
archtours.com,1532,244,266
arcibella.com,2375,373,426
arcineer.com,1914,255,284
arcintell.com,28,6,6
arclab.fi,3870,636,864
arctaim.com,266,48,48
arcteq.fi,1164,178,216
arctic-trans.fi,43,7,11
arcticacademy.fi,1172,202,235
arcticana.fi,417,59,61
arcticbee.com,60,13,13
arcticbluebeverages.com,3715,615,702
arcticchina.com,202,39,41
arcticcoders.fi,1237,201,206
arcticconsulting.fi,1565,211,228
arcticcowboys.fi,71,12,27
arcticescapades.com,1882,321,359
arcticfood.fi,171,27,28
arcticgm.com,3409,526,646
arcticlines.com,5107,874,986
arcticmagegames.com,496,79,82
arcticnature.fi,11820,2196,2387
arcticnest.fi,6772,1108,1208
arcticnook.com,2108,347,388
arcticpiling.fi,713,114,140
arcticroadtrips.com,2335,439,497
arcticseasons.com,3173,534,568
arcticshamanadventures.com,29,6,6
arcticskylapland.com,353,56,68
arcticskylightlodge.com,474,93,101
arcticsolutions.fi,2138,298,333
arcticstartup.com,1011,119,193
arctictalent.com,192,37,44
arctictours.fi,630,96,117
arcticverge.com,607,104,116
arcticweddingfinland.com,71,13,13
arctila.fi,71,13,13
arctradmc.fi,2697,416,471
arctum.fi,332,49,52
ardinsoftware.com,111,17,21
areality.fi,459,71,76
arelion.com,98,17,20
arenainteractive.fi,1266,192,195
arenastaff.fi,196,31,31
arete.studio,87,16,16
arevasolar.fi,51,10,10
argyon.com,697,113,116
arihovi.com,53,9,9
arila.fi,1041,180,190
ariscon.org,62,8,11
aristahealth.fi,3741,535,572
aritunes.com,2390,352,417
arivintx.com,3106,453,480
arjeksi.fi,66,9,13
ark-communications.com,130,17,18
arkiivi.com,1933,314,357
arkikehu.com,71,13,13
arkioindustries.com,398,59,63
arkiste.com,435,62,73
arkistointipalvelu.fi,181,35,36
arkkeo.com,917,168,168
arkki.com,7931,1196,1304
arkkitehditsivula.fi,112,22,22
arkkitehtikorhonen.fi,27,4,9
arkkitehtimo.fi,587,105,120
arkkukari.fi,1609,247,272
arknieminen.fi,706,97,192
arkticon.fi,32,6,6
arktis.fi,963,149,181
armascreative.fi,3074,409,451
armasperformance.com,202,39,41
armatec.com,179,33,33
arme.fi,1907,261,423
armeniatours.fi,35,5,5
armenygroup.fi,454,80,81
armidex.fi,87,16,16
arniealligator.com,26,6,6
arnon.fi,1265,184,190
arnora.com,1553,229,247
aroma.fi,171,27,28
aromanepal.fi,43,8,11
array.fi,18,3,3
arslanijaz.com,2460,359,395
artasfin.fi,111,20,21
artbee.fi,1680,287,298
artek.fi,231,39,48
artelenehitus.eu,179,30,30
artfinland.fi,93,15,28
artgrani.com,26,6,6
arthemaxx.com,608,91,106
artichouse.fi,1349,238,247
artific.ai,8016,1303,1383
artiwaine.com,4438,756,819
artmudesign.com,1830,253,337
artofdressage.fi,71,13,13
artoviitanen.com,87,16,16
artxperience.net,1266,192,192
artzmencreative.com,421,63,66
arvidnordquist.fi,32,6,6
arvoguitars.fi,87,16,16
arvokate.fi,418,82,86
arvolithium.com,961,154,175
arvoluonto.fi,37,5,5
arvonanto.fi,391,63,70
arvosoft.fi,46,9,10
arvotuotanto.com,32,6,6
as.me,53,7,11
asapty.com,3089,492,517
ascom.fi,15877,2257,3400
asennettuna.fi,111,20,21
asenno.com,1756,237,246
asennusmlehtio.fi,81,15,15
asentamo.fi,391,63,70
asesor.fi,100,14,14
asfalttipiste.fi,29,6,6
asha.fi,25651,4551,6001
ashfieldengage.com,578,69,83
asiaexchange.org,32,6,6
asiafinland.com,4322,722,780
asiakassivu.fi,391,63,70
asianajoliv.fi,111,20,21
asiantradelotus.com,845,126,169
asiarenko.com,767,122,126
asics.com,18,5,5
askarteluideat.fi,216,42,53
askelhealthcare.com,2398,387,430
askem.com,3862,583,630
aslaksiimes.com,156,22,22
asmo.fi,155,25,27
aspidistra.fi,166,26,26
asproductions.fi,26,6,6
aspsolutions.fi,3481,531,539
asro.fi,2150,334,338
assatraining.com,147,28,28
assessio.fi,3361,499,520
assetmanagementcorp.net,394,64,68
assetti.pro,2448,383,396
assettokenization.com,2357,312,331
assetvision.fi,51,6,6
astangashala.fi,89,17,17
astecoolers.com,68,13,13
asteka.com,3384,569,603
astekyhtiot.fi,71,13,13
astemes.com,4089,611,629
asterakennus.fi,71,13,13
asteroid.fi,5016,788,824
astrada.fi,1373,205,222
astridrin.com,3268,480,553
astroart-store.fi,151,21,39
astrokvantit.com,136,19,19
asukit.fi,180,29,30
asumma.fi,1164,174,194
asuntoagentti.info,32,6,6
asuntostailaus.fi,26,6,6
asuyama.com,1098,194,199
atalysti.fi,1269,175,184
ateam.fi,26,6,6
atelierdigital.fi,780,129,156
atelje.fi,26,6,6
ateljeekuvastin.com,202,39,41
aterin.fi,1456,226,270
atexon.com,8765,1340,1515
athena.cx,29,6,6
athlete247life.com,929,163,175
atinoy.fi,1905,259,274
atkpalvelut-mpunkari.com,1623,229,318
atlas-elektronik.com,3654,560,609
atmasgroup.com,3420,493,517
atnorth.com,1156,186,208
atolaviation.com,2032,307,348
atomicspastudios.com,202,39,41
atomtoysstudios.com,1157,203,212
atpodium.com,185,27,29
atrainno.com,849,131,135
atria.fi,171,27,28
attentionhereandnow.com,71,13,13
attractive.ai,66,11,12
atwisely.com,847,129,133
atzimuth.com,234,41,45
auc.fi,1048,168,174
audacon.fi,295,38,41
audarchitects.com,219,36,43
audenstudio.com,330,58,68
audiamond.fi,53,9,9
audimat.fi,111,20,21
audiodraft.com,1241,190,208
audiomimi.com,87,16,16
audiospot.fi,430,74,77
aufwin.fi,505,81,103
augatechnologies.com,1514,247,260
augment.eco,62,8,8
augmentedmind.io,162,28,34
augnition.fi,1206,192,203
august.fi,6154,1015,1088
auliscap.com,4446,666,713
aumatalot.com,71,13,13
aunehoiva.fi,32,6,6
auntie.fi,8888,1318,1437
auoraoffinland.com,807,132,148
aupro.fi,279,54,62
aurachalets.fi,2289,352,438
aurapet.fi,182,39,42
auraplugins.com,21661,3926,4154
aurasalonki.fi,1243,210,221
aurasmanagement.com,202,39,41
aurealistherapeutics.com,3930,587,695
aureliaturbines.com,731,104,111
auren.fi,581,92,102
aurexel.fi,71,13,13
aurinkoinsinoorit.com,184,39,41
aurinkokehra.fi,1099,170,292
aurinkovarma.fi,192,37,44
aurolahti.fi,1027,158,180
auroraholidays.net,10216,1778,1919
auroralive.com,140,22,23
aurorapowertrains.com,1121,169,194
aurorapt.space,2740,402,477
auroravillage.fi,6339,1058,1172
aurova.fi,202,39,41
autenticboreal.fi,2165,345,400
autio.net,9866,2369,3302
autiomaa.fi,32,6,6
auto-osake.fi,78,16,16
autoexplore.ai,339,52,56
autofabrik.fi,104,15,31
autofinal.fi,4349,680,799
autohuoltocarfix.com,202,39,41
autohuoltomonkkonen.fi,163,21,63
autokorjaamolevomaki.fi,49,9,9
autoliikemanninen.fi,171,27,28
autoliikemiettinen.fi,912,138,280
autoliikkuu.fi,40,8,8
automata.builders,1578,290,300
automate.video,5765,913,954
automaton.fi,1443,234,248
automotive.fi,75,12,12
automous.ai,1603,264,290
autonohjelmointi.fi,37,5,5
autopesuexpress.fi,497,59,175
autopurku.fi,180,29,30
autoreset.fi,34,6,6
autorola.fi,235,34,39
autorun.fi,27771,4096,4436
autosawit.com,157,24,28
autotalo-kolsi.fi,40,5,5
autotalofm.fi,22,4,4
autotema.fi,181,38,41
autovaten.fi,24,5,5
autoviewtech.com,55,9,13
av-royal.fi,202,39,41
availab.fi,1490,220,241
avaimetkateentalo.fi,419,65,69
avain.io,51,8,10
avainenergia.fi,178,36,39
avaintec.com,418,65,67
aval.fi,53,9,9
avalor.fi,1307,181,194
avanceattorneys.com,3014,518,560
avantadvisors.fi,983,147,154
avantage.fi,22310,3591,3883
avantcap.fi,1755,258,260
avanto.club,325,47,54
avantrumvisuals.fi,129,18,18
avantwood.fi,1230,187,199
avarana.fi,1434,237,243
avariansportdogs.com,2976,429,442
avatastudio.com,170,24,29
avaus.com,1656,277,284
avcustomworks.fi,418,82,86
avecdanceclub.com,456,77,88
aveksana.com,1513,235,250
avenol.fi,93,19,19
aventum.fi,304,45,47
avenuebiosciences.com,1564,207,245
avenum.org,1134,173,178
averlanche.com,2647,413,512
avertes.fi,400,68,78
avesnetsec.com,1559,216,231
aviadesign.fi,3337,451,494
aviareps.com,1913,286,301
avican.fi,1234,206,212
avicom.fi,3471,533,580
avidlyagency.com,7386,1169,1281
avigilon.com,216,34,36
avisofinancepartners.com,2190,317,349
aviter.fi,71,14,14
avoasunnot.fi,83,12,13
avoremedia.com,87,16,16
avqt.fi,32,6,6
avunhuuto.fi,202,39,41
awake.ai,1753,253,264
awakeagainband.com,925,137,191
awardium.fi,66,12,14
awave.fi,2573,434,454
away.fi,171,27,28
awesomeness.pro,96,14,21
awestruck.fi,844,124,142
awp.fi,1095,207,212
awt.com,858,131,134
axelisannointi.fi,71,13,13
axelventure.com,53,12,13
axiio.fi,158,26,30
axinoss.com,2568,403,439
axlis.com,3383,569,603
axlmethod.com,202,39,41
axmotorcycles.com,71,13,13
axo-service.fi,40,8,8
axopar.fi,7410,1190,1314
axpo.com,5926,893,939
axwchemical.com,1031,150,170
aytict.fi,1867,282,306
azets.com,2022,331,352
aziwell.com,1178,169,192
aztecnordic.fi,865,134,152
b-k.fi,234,41,45
b12sites.com,952,163,166
b2bimport.fi,141,23,23
b2bpay.co,316,45,47
baaswise.com,2031,291,299
babas.fi,180,29,30
bacchus.fi,32,5,11
backbonemarketing.fi,97,16,21
backby.fi,32,6,6
backman-trummer.fi,243,34,37
backo.fi,1593,242,251
backstagerockshop.com,51,6,6
backwoodsaudio.fi,29,5,8
badenstock.com,2399,353,381
badrap.io,2138,324,351
bahn.fi,202,39,41
baia.group,1390,255,283
bailabaila.fi,43,8,12
bajo.fi,71,13,13
bakerhughes.com,2462,364,370
bakni.fi,222,39,39
balancedlogistics.fi,2866,465,478
balibrunch.com,202,39,41
ball-group.com,171,29,31
ballmovers.pro,1830,261,275
balmuir.com,289,52,62
balticline.fi,29,6,6
balticline.no,839,140,153
bambi.fi,127,20,20
bamla.agency,123,23,23
band.fi,2869,444,507
banderollimestarit.fi,66,12,13
banginteriorshelsinki.com,32,6,6
bankiton.com,69,14,14
banqsoft.com,4102,622,670
baoom.com,16,4,4
bapsishki.com,1869,244,269
baradata.com,2924,447,458
barchaplin.fi,770,138,149
baremetal.studio,334,61,63
barnorecapital.com,211,36,41
barparooni.fi,29,6,6
barrecertification.com,15965,2476,2853
barsan.com,104,24,24
baseinformation.fi,42,7,8
basemark.com,53,9,9
basement.ai,338,50,52
basen.net,211,35,35
bassotalo.fi,391,63,70
bastumedia.fi,793,134,136
bauhaus.fi,28,5,5
bavion.fi,32,6,6
baxbaxlab.com,400,76,95
bayeshelsinki.com,462,64,67
bblogistics.fi,35,5,5
bbnetworks.net,61,8,9
bbo.fi,41,6,6
bboydojo.com,3475,630,658
bcaster.com,9545,1612,1721
bcbmedical.com,1804,257,264
bccsolutions.fi,32,6,6
bdc.is,1263,190,205
bdtesting.fi,1352,205,222
beaconsim.com,7712,1216,1296
beamex.com,15939,2395,2558
beams.fi,51,8,9
bearandpanda.com,32,6,6
beardowadams.com,391,65,66
bearingpoint.com,3650,537,581
bearint.fi,265,43,44
bearit.fi,180,29,30
bearlydigital.com,1872,294,304
beatmarket.com,2077,287,301
beautyhairsirpamansner.fi,391,63,70
beautyspasveitsi.fi,87,16,16
become.fi,53,9,9
beconnecto.fi,1678,263,293
becustomersmart.com,26,6,6
becvet.com,1276,202,251
beeroad.fi,101,15,24
befrsh.com,2547,461,487
behavix.io,3108,461,540
beibamboo.com,85,15,16
bel.fi,1266,192,195
belben.fi,71,13,13
belixo.fi,29,6,6
bellaconsulting.co,2467,388,400
bellaforest.fi,93,17,17
bellebaguette.com,87,16,16
bellmer.com,1801,261,275
belly-labs.com,8516,1381,1549
bemasystem.fi,171,27,28
bemi.fi,153,25,29
benevos.fi,32,6,6
bengsfort.dev,1197,194,242
bengtssons-maskin.fi,35,6,8
bentosi.fi,457,87,91
beoform.com,313,43,47
berglegal.co,1781,296,308
bergmann.fi,1084,166,207
berhana.fi,667,108,109
berhel.com,1422,220,311
berny.fi,171,27,28
berryfun.fi,218,37,37
berryglade.com,3316,498,551
bertschi.com,628,99,111
bertus.com,4286,727,750
bestfor.com,682,130,132
besthelp.fi,202,39,41
bestis.pet,29,6,6
bestnetart.com,454,80,81
bestpoint.fi,40,8,8
bestseller.com,1224,194,199
betelgeusedesign.com,965,138,148
