domain,path,chars,bytes,words,lines
ouluninvataksi.fi,scraped/ouluninvataksi.fi.txt,537,559,61,6
oulunjalkapallohalli.fi,scraped/oulunjalkapallohalli.fi.txt,449,459,44,4
oulunkaihdinpalvelu.fi,scraped/oulunkaihdinpalvelu.fi.txt,6273,6510,666,61
oulunkamppailuklubi.fi,scraped/oulunkamppailuklubi.fi.txt,50,50,4,1
oulunkamu.fi,scraped/oulunkamu.fi.txt,2074,2153,206,23
oulunkattopalvelu.fi,scraped/oulunkattopalvelu.fi.txt,1391,1422,144,17
oulunkelkkavuokraus.fi,scraped/oulunkelkkavuokraus.fi.txt,27,27,2,1
oulunkeskuspesula.fi,scraped/oulunkeskuspesula.fi.txt,1332,1376,135,18
oulunkielipalvelut.com,scraped/oulunkielipalvelut.com.txt,1110,1112,154,22
oulunkirjailijaseura.fi,scraped/oulunkirjailijaseura.fi.txt,4319,4495,455,55
oulunkonttori.fi,scraped/oulunkonttori.fi.txt,51,51,8,1
oulunkosteustutkimus.fi,scraped/oulunkosteustutkimus.fi.txt,1944,2002,200,31
oulunkuivauspalvelu.fi,scraped/oulunkuivauspalvelu.fi.txt,2477,2524,267,43
oulunlaatuisannointi.fi,scraped/oulunlaatuisannointi.fi.txt,1243,1308,119,8
oulunlaatuputki.fi,scraped/oulunlaatuputki.fi.txt,1175,1217,123,8
oulunlampoputkitus.fi,scraped/oulunlampoputkitus.fi.txt,8718,9102,918,64
oulunlippo.fi,scraped/oulunlippo.fi.txt,18386,19146,2086,448
oulunmaalaus.fi,scraped/oulunmaalaus.fi.txt,1872,1905,225,73
oulunmusiikkikoulu.fi,scraped/oulunmusiikkikoulu.fi.txt,1063,1082,127,27
oulunodessa.fi,scraped/oulunodessa.fi.txt,33,33,6,1
oulunomavarasto.fi,scraped/oulunomavarasto.fi.txt,3948,4105,417,23
oulunpaitapaino.fi,scraped/oulunpaitapaino.fi.txt,2282,2352,237,17
oulunpalametalli.fi,scraped/oulunpalametalli.fi.txt,748,768,82,15
